NEIGHBORHOOD,TOTAL,
ALAMEDA,5214,
ARBOR LODGE,6153,
ARDENWALD-JOHNSON CREEK,4748,
ARGAY TERRACE*,6006,
ARLINGTON HEIGHTS,718,
ARNOLD CREEK,3125,
ASHCREEK,5719,
BEAUMONT-WILSHIRE,5346,
BOISE,3311,
BRENTWOOD-DARLINGTON,12994,
BRIDGETON,725,
BRIDLEMILE,5481,
BROOKLYN ACTION CORPS*,3485,
BUCKMAN COMMUNITY ASSOCIATION*,8472,
CATHEDRAL PARK,3349,
CENTENNIAL COMMUNITY ASSOCIATION*,23662,
COLLINS VIEW,3036,
CONCORDIA,9550,
CRESTON-KENILWORTH,8227,
CRESTWOOD,1047,
CULLY ASSOCIATION OF NEIGHBORS*,13209,
EAST COLUMBIA,1748,
EASTMORELAND,5007,
ELIOT,3611,
FAR SOUTHWEST,1320,
FOREST PARK,4129,
FOSTER-POWELL,7335,
GLENFAIR,3417,
GOOSE HOLLOW FOOTHILLS LEAGUE*,6507,
GRANT PARK,3937,
HAYDEN ISLAND NEIGHBORHOOD NETWORK*,2270,
HAYHURST,5382,
HAZELWOOD,23462,
HEALY HEIGHTS,187,
HILLSDALE,7540,
HILLSIDE,2200,
HOLLYWOOD,1578,
HOMESTEAD,2009,
HOSFORD-ABERNETHY NEIGHBORHOOD DISTRICT*,7336,
HUMBOLDT,5110,
IRVINGTON COMMUNITY ASSOCIATION,8501,
KENTON,7272,
KERNS,5340,
KING,6149,
LAURELHURST,4633,
LENTS,20465,
LINNTON,941,
LLOYD DISTRICT COMMUNITY ASSOCIATION*,1142,
MADISON SOUTH,7130,
MAPLEWOOD,2557,
MARKHAM,2248,
MARSHALL PARK,1248,
MC UNCLAIMED #11,0,
MC UNCLAIMED #13,0,
MC UNCLAIMED #14,0,
MC UNCLAIMED #5,0,
MILL PARK,8650,
MONTAVILLA,16287,
MT. SCOTT-ARLETA,7397,
MT. TABOR,10162,
MULTNOMAH,7409,
NORTH TABOR,5163,
NORTHWEST DISTRICT ASSOCIATION*,13399,
NORTHWEST HEIGHTS,4806,
OLD TOWN COMMUNITIY ASSOCIATION*,3922,
OVERLOOK,6093,
PARKROSE,6363,
PARKROSE HEIGHTS ASSOCIATION OF NEIGHBORS*,6119,
PEARL DISTRICT*,5997,
PIEDMONT,7025,
PLEASANT VALLEY,12743,
PORTLAND DOWNTOWN*,12801,
PORTSMOUTH,9789,
POWELLHURST-GILBERT,30639,
REED,4399,
RICHMOND,11607,
ROSE CITY PARK,8982,
ROSEWAY,6323,
RUSSELL,3175,
SABIN COMMUNITY ASSOCIATION*,4149,
SELLWOOD-MORELAND IMPROVEMENT LEAGUE*,11621,
SOUTH BURLINGAME,1747,
SOUTH PORTLAND,6631,
SOUTH TABOR,5995,
SOUTHWEST HILLS RESIDENTIAL LEAGUE*,8389,
ST. JOHNS,12207,
SULLIVAN'S GULCH,3139,
SUMNER ASSOCIATION OF NEIGHBORS*,2137,
SUNDERLAND,718,
SUNNYSIDE,7354,
SYLVAN-HIGHLANDS,1317,
UNIVERSITY PARK,6035,
VERNON,2585,
WEST PORTLAND PARK,3921,
WILKES COMMUNITY GROUP*,8775,
WOODLAND PARK,176,
WOODLAWN,4933,
WOODSTOCK,8942,